stop/id,stop/code,stop/name,stop/desc,stop/lat,stop/lon,stop/location-type,stop/parent-station,stop/wheelchair-boarding,stop/platform-code,stop/zone-id,stop/level-id
de:12071:900446103,,"Peitz, Ost Bhf",,51.844073000000,14.448949000000,1,,1,,"6972 Peitz, Ost Bhf",
de:12071:900446411,,"Teichland, Bahnhof",,51.818652000000,14.423752000000,1,,1,,"7171 Teichland, Bahnhof",
de:12071:900445884,,"Kolkwitz, Bahnhof",,51.757601000000,14.250855000000,1,,1,,"7269 Kolkwitz, Bahnhof",
de:12071:900445885,,"Kolkwitz, Süd Bhf",,51.746846000000,14.241560000000,1,,1,,"7269 Kolkwitz, Süd Bhf",
de:12071:900445956,,"Kunersdorf (SPN), Bahnhof",,51.769040000000,14.187431000000,1,,1,,"7168 Kunersdorf (SPN), Bahnhof",
de:12071:900446070,,"Neuhausen (SPN), Bahnhof",,51.686983000000,14.412731000000,1,,1,,"7471 Neuhausen (SPN), Bahnhof",
de:12071:900445165,,"Bagenz, Bahnhof",,51.654850000000,14.426863000000,1,,1,,"7472 Bagenz, Bahnhof",
de:12071:900445986,,"Leuthen, Bahnhof",,51.695043000000,14.256051000000,1,,1,,"7469 Leuthen, Bahnhof",
de:14625:8144,,"Schwarzkollm, Bahnhof",,51.443318000000,14.133568000000,1,,0,,"7868 Schwarzkollm, Bahnhof",
de:12052:900470000,,"Cottbus, Hauptbahnhof",,51.750985000000,14.324464000000,1,,1,,"7270 Cottbus, Hauptbahnhof",
de:12066:900435061,,"Ruhland, Bahnhof",,51.455449000000,13.869697000000,1,,1,,"7963 Ruhland, Bahnhof",
de:12066:900435001,,"Sedlitz, Ost Bhf",,51.553417000000,14.055357000000,1,,1,,"7666 Sedlitz, Ost Bhf",
de:12066:900435339,,"Großräschen, Bahnhof",,51.591486000000,14.014993000000,1,,1,,"7665 Großräschen, Bahnhof",
de:12071:900445801,,"Kerkwitz, Bahnhof",,51.909475000000,14.627250000000,1,,1,,"6876 Kerkwitz, Bahnhof",
de:12071:900445751,,"Jänschwalde, Ost Bhf",,51.877705000000,14.541009000000,1,,1,,"6973 Jänschwalde, Ost Bhf",
